ANSC*6490,1 / 8,LEC Tues  Thur 12:30PM - 01:20PM AD-S  Room Virtual LAB Thur 02:30PM - 05:20PM AD-S  Room Virtual,M. Steele
ANSC*6490,0 / 0,,TBA TBA
ANSC*6550,3 / 10,LEC Thur 08:30AM - 09:50AM AD-S  Room Virtual LAB Tues 08:30AM - 09:50AM AD-S  Room Virtual,J. St-Pierre
ANSC*6600,0 / 20,SEM Fri 10:00AM - 11:20AM AD-S  Room VIRTUAL,W. Pearson
ANSC*6610,0 / 25,LEC Fri 10:00AM - 11:20AM AD-S  Room Virtual,W. Pearson
ANSC*6620,6 / 15,LEC Fri 10:00AM - 11:20AM AD-S  Room VIRTUAL,W. Pearson
ANSC*6630,2 / 15,LEC Fri 10:00AM - 11:20AM AD-S  Room VIRTUAL,W. Pearson
ANSC*6710,11 / 20,LEC Mon 11:30AM - 02:20PM AD-S  Room Virtual,P. Lawlis
ANSC*6720,11 / 20,LEC Tues 12:30PM - 03:20PM AD-S  Room Virtual,G. Mason
ANSC*6730,7 / 12,LEC Wed 11:30AM - 12:50PM AD-S  Room Virtual,V. Osborne
ANSC*6900,16 / 20,LEC Days TBA Times TBA Room TBA,N. Karrow
ANTH*1150,116 / 600,LEC Mon 07:00PM - 09:50PM AD-S  Room Virtual EXAM Thur 07:00PM - 09:00PM (2021/04/15) Room TBA,T. McIlwraith
ANTH*2180,77 / 210,LEC Tues  Thur 01:00PM - 02:20PM AD-S  Room Virtual EXAM Mon 08:30AM - 10:30AM (2021/04/26) Room TBA,T. Steffens
ANTH*2660,40 / 140,LEC Tues  Thur 10:00AM - 11:20AM AD-S  Room Virtual EXAM Fri 02:30PM - 04:30PM (2021/04/23) Room TBA,V. Gulewitsch
ANTH*3550,13 / 50,LEC Thur 07:00PM - 09:50PM AD-S  Room Virtual,D. Rose
ANTH*3770,6 / 50,LEC Wed 07:00PM - 09:50PM AD-S  Room Virtual,V. Gulewitsch
ANTH*3950,5 / 5,LEC Days TBA Times TBA Room TBA,TBA TBA
ANTH*4700,17 / 25,LEC Tues 11:30AM - 02:20PM AD-S  Room Virtual,S. Kawano
ANTH*4880,5 / 5,LEC Days TBA Times TBA Room TBA,TBA TBA
ANTH*4890,4 / 5,LEC Days TBA Times TBA Room TBA,TBA TBA
ANTH*4900,5 / 5,LEC Days TBA Times TBA Room TBA,TBA TBA
ANTH*4910,3 / 5,LEC Days TBA Times TBA Room TBA,TBA TBA
ANTH*6140,7 / 12,LEC Thur 11:30AM - 02:20PM AD-S  Room Virtual,S. Kawano
ANTH*6270,3 / 4,LEC Tues 11:30AM - 02:20PM AD-S  Room Virtual,P. Garcia-Del Moral
ANTH*6420,2 / 2,LEC Wed 03:30PM - 06:20PM AD-S  Room Virtual,J. Varghese
ANTH*6480,2 / 3,LEC Tues 02:30PM - 05:20PM AD-S  Room Virtual,V. Shalla
ANTH*6550,4 / 5,LEC Days TBA Times TBA Room TBA,TBA TBA
ANTH*6600,3 / 5,LEC Days TBA Times TBA Room TBA,TBA TBA
ANTH*6660,3 / 5,LEC Days TBA Times TBA Room TBA,TBA TBA
ANTH*6700,2 / 5,LEC Fri 12:30PM - 03:20PM AD-S  Room VIRTUAL,M. Horgan
ANTH*6700,2 / 4,LEC Fri 12:30PM - 03:20PM AD-S  Room Virtual,M. Horgan
ARTH*1520,72 / 200,LEC Mon  Wed 10:00AM - 11:20AM AD-S  Room Virtual,J. Jacobson-Konefall
ARTH*1520,0 / 0,,TBA TBA
ARTH*2120,16 / 72,LEC Mon  Wed 01:00PM - 02:20PM AD-S  Room Virtual,J. Jacobson-Konefall
ARTH*2280,12 / 72,LEC Mon  Wed 02:30PM - 03:50PM AD-S  Room Virtual,S. McCabe
ARTH*2550,16 / 72,LEC Mon  Wed 11:30AM - 12:50PM AD-S  Room Virtual,M. Meyer
ARTH*2600,28 / 72,LEC Tues  Thur 10:00AM - 11:20AM AD-S  Room Virtual,C. Smylitopoulos
ARTH*3210,6 / 60,LEC Tues  Thur 10:00AM - 11:20AM AD-S  Room Virtual,A. Boetzkes
ARTH*3320,6 / 60,LEC Mon  Wed 04:00PM - 05:20PM AD-S  Room Virtual,M. Meyer
ARTH*3600,15 / 60,LEC Tues  Thur 01:00PM - 02:20PM AD-S  Room Virtual,K. Patterson
ARTH*4310,2 / 15,SEM Tues 11:30AM - 02:20PM AD-S  Room Virtual,J. Jacobson-Konefall
ARTH*4330,6 / 15,SEM Mon 11:30AM - 02:20PM AD-S  Room Virtual,D. Marner
ARTH*4600,10 / 10,SEM Days TBA Times TBA Room TBA,TBA TBA
ARTH*4800,9 / 10,SEM Days TBA Times TBA Room TBA,TBA TBA
ASCI*1120,3 / 21,LEC Mon  Fri 01:30PM - 02:20PM AD-S  Room Virtual SEM Mon 10:30AM - 11:20AM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,P. Barclay
